film,filmLabel,publicationYear,assessmentLabel,outcomeLabel,reviewScore
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Celia Imrie Test,не проходит,1/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,обратный тест Ландау,проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1988,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1987,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1987,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1986,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1986,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q431836,Когда дует ветер,1986,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q449917,Приключения бурундучков,1988,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q449917,Приключения бурундучков,1987,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q459874,Princess of the Sun,2007,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q498434,Множество приключений Винни-Пуха,1977,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q498434,Множество приключений Винни-Пуха,1977,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q498434,Множество приключений Винни-Пуха,1977,reverse Waithe Test,не проходит,0/3
http://www.wikidata.org/entity/Q536756,Астерикс и Клеопатра,1968,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Шукла,проходит,3/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,обратный тест Мако Мори,не проходит,1/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Фельдмана,проходит,5/10
http://www.wikidata.org/entity/Q537407,Мулан,1998,AfroBubbleGum Test,не проходит,0/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,reverse Waithe Test,не проходит,1/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Тауриэль,проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Ландау,проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Вито Руссо,не проходит,0/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,Celia Imrie Test,не проходит,1.5/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,тест Риза,неприменимо,
http://www.wikidata.org/entity/Q537407,Мулан,1998,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q537407,Мулан,1998,BubbleGum Test,проходит,2.1/3
http://www.wikidata.org/entity/Q550571,Феи,2008,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q562140,Девочка-лисичка,2007,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q562140,Девочка-лисичка,2007,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,тест Риза,проходит,
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,reverse Waithe Test,не проходит,0/3
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,BubbleGum Test,проходит,2.2/3
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,тест Фельдмана,не проходит,4/10
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,Russ Test,не проходит,1.5/2
http://www.wikidata.org/entity/Q567591,Приключения принца Ахмеда,1926,тест Бекдел,не проходит,1/3
